filename,before_hash,ctxr_hash,mipmaps,origin_folder,opacity_stripped,upscaled,upscaler_version,upscaler_type,ctxr3_converted,non_upscaled_version,npot_resized
00fb5e0d_a4c6847d4b922f6cd44f7d23a8727f2c,620171dea044f965ed846d1ff5ee2a8cb3d5b38c,8d01b199bb5e498e3fa64c5a4c88edf1d8075ef7,true,Self Remade\Finalized\Not Demaster Fixed\UI\Japanese,false,true,5,remarci_4x,false,0,false
a_bg.bmp,78fefa4a6a4cfeb2b9de384af1aaade2bd15825c,fb880c47fbae0fc08857efac859b0fe83151031e,true,Self Remade\Finalized\Dont demaster\16-9 Fixes,true,true,5,remarci_4x,false,0,false
b_bg.bmp,24237a173703df54b3ccf6692f97d186d353bd87,0b528aaa19bfaeef8b25e5bb48f77e6ba083b369,true,Self Remade\Finalized\Dont demaster\16-9 Fixes,true,true,5,remarci_4x,false,0,false
bg_alp_ovl.bmp,0558188f1609dd3ca6ae74a6dc8bdd2e0b99f017,492be65eb5039410d15d16e3179b67220647335b,true,Self Remade\Finalized\Dont demaster\16-9 Fixes,true,true,5,remarci_4x,false,0,false
c_bg.bmp,d95c1b4d08a0d4434ff9837ada1f5b544db119a4,5c9f37bfba2d5e57ec33c653def7c751a87e8f00,true,Self Remade\Finalized\Dont demaster\16-9 Fixes,true,true,5,remarci_4x,false,0,false
d_bg.bmp,994461455c9b280ca3b3476bb1dac4dbf5b345c9,4f21a297a0483d42a6b2cff6c1e1e8529f12ff86,true,Self Remade\Finalized\Dont demaster\16-9 Fixes,true,true,5,remarci_4x,false,0,false
e_bg.bmp,c07bcdbae6209b9898ef1c6a833a13856ac052dd,8f88807258698eccc5a70ef022924b37564dc5d6,true,Self Remade\Finalized\Dont demaster\16-9 Fixes,true,true,5,remarci_4x,false,0,false
r_bg.bmp,05c4c324ae905f52f70f762039c3eae6af3ec6a2,107e49d631bd1f6de9ff1d9dc73f53c9695155fd,true,Self Remade\Finalized\Dont demaster\16-9 Fixes,true,true,5,remarci_4x,false,0,false
sce_cesa_attention.bmp,5c43f92f9a1801eacfe8d0fcd546546a73db6abe,d6de7604b3a9e75ffaa669fa73fb3956ff67a704,true,Self Remade\Finalized\Self Remastered\UI\Japanese\Dont Demaster\Stock Files,true,true,5,remarci_4x,false,0,false
sr01j_alp_ovl.bmp_71b551295ba518fae4283bd712544a6d,0ecbaade2113373ec71c0f5d9c2892754b3de6c7,4087a536c1ebff9c21900fb5ae98121f6d6a851f,true,Self Remade\Finalized\Self Remastered\UI\Japanese\Dont Demaster\Stock Files,false,true,5,remarci_4x,false,0,false
sr02j_alp_ovl.bmp_4a09a9b88e5c9d0cf6da451edf0dbec7,1345da4593952b7dc37ee75177ce492ce78f5a8c,16667d876ef8618872eb38f643c6ae1bfb284db1,true,Self Remade\Finalized\Self Remastered\UI\Japanese\Dont Demaster\Stock Files,false,true,5,remarci_4x,false,0,false
sr04e_alp_ovl.bmp_7df013dc1a4acc27c98bdd79b9268942,5b595bfbdf29202fb3f86544e66139377e9324a3,89e8b61bff4933b75b23f63cc393282f1fa077dc,true,Self Remade\Finalized\Self Remastered\UI\Japanese\Dont Demaster\Stock Files,false,true,5,remarci_4x,false,0,false
sr04j_alp_ovl.bmp_1383a677978c887d8f593c2469a8401a,5150780b2c496d32523f26c443d625ac8c2f25c2,51da1d0206fb70e1eed962f5a0077e5a1acccadf,true,Self Remade\Finalized\Self Remastered\UI\Japanese\Dont Demaster\Stock Files,false,true,5,remarci_4x,false,0,false
sr05e_alp_ovl.bmp_fa8e2b5b866afff71bcedae16df8e3df,7206c658792faec5a608c8631efa51d1efd348ed,19429b919cf12eebd1f1392d27b873fecc871380,true,Self Remade\Finalized\Self Remastered\UI\Japanese\Dont Demaster\Stock Files,false,true,5,remarci_4x,false,0,false
