filename,before_hash,ctxr_hash,mipmaps,origin_folder,opacity_stripped,upscaled
0009eb6f,d8f64c8986ce7298b3be876a7a88aa11b725874b,1b6f5d729e2a0777a863f71b54f7ab614d42038d,false,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,false
0009bc34,f440b028952b70270ae2c9a2f0732eb1db49fe8e,1f084a3bc254b70b2e4156c248f04caf16cd38da,false,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,false
0000c4dd_d0bf2476e36b7e6db64e892154845abf,dc45f0a37611025b189bea53c381a285efa4291b,9abf1c00d8e8eed5348085d1ee4285419d3387ad,false,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,false
00052016,02299d544d568ecd737a8c6c782cbc56489778fe,1bfedc9ac68dc9367f2d13431f162fb34ccedc71,false,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,false
00068f79,46b8180d902c4f85d5f556d12771af4eda2628ed,11d0b6a8c9d552078ff7568dfc8bbac138e9f05b,false,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,false
00004ad1,b93f6e608b29d7f2d23be9999ead26005635371f,fc24ca2ee38b97cf3a0a83f39c873f1607a62690,false,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,false
0007bc34,e0d0d9438e8284d8bdbf09d8c5932952559b655e,e279bc85730dcf7915d3b9e9dab3a71bf996cb12,false,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,false
00032016,30f5387dfd00f7618c4883d2b26d01e8aaba9e05,384b465fd211085b5463158cd119b0a3ecd6d5dd,false,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,false
00012016,04c10e41272c64574632a5a72599176381bb2a10,e23bcc45665894a8ffeeec3c490d29733d69d0d5,false,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,false
000382c8,295c0890fbedc82ded389a749a8eb485b4b512b1,c9eefd218da6ecdd685ed8626c7b79338ed9f2c1,false,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,false
0003c3de_59747dd0818a4f3d78cd7938115b9093,aea0aa102d7610bbfc5295965de1f29eb7e36bc8,0e71e4cf0d7170289cba7676fb1097187e8e3d4d,false,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,false
00072016,adad8d42ca9df79a24b6a84b3aaf844d83c43e08,3e4612ddf3ca6a569b01474ccb20a7b564e2abdf,false,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,false
0002cca2,50559aff150b41e7f92eba23c5ce023c4c0ebc24,15f75936ed9029547762ef232036f159398f4f3e,false,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,false
00024ad1,e5aa6fbe3eddf144c215f0a9c0ed8216e3fb4894,dc694e5e0d259ec6ee393dec4a53310ddd9717e6,false,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,false
000430f2,1e5f2e27e65e07c2c477dd501d61e4fdbb8fd1fc,c004d54f2baaa0ee759ec2f01438e54f0a7f8150,false,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,false
00085bbe,f3298e9234252021d88497edcad417b827778c87,d6209686cc0d065138a00e76f19b22270cf26791,false,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,false
0000f06e,f631c0be788c2bf0c2d0658e60a0371150438197,a800e6f0c06dd835de0f413a38deb6f0c297a6a6,false,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,false
00022016,0bbaa4937ed1bdafe67235529aaa6b7723b1556a,cce71541f3ca3d2abe93dbf5983004b1062b6f22,false,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,false
00062016,790781f0399f463c61e48218921f36edb37ab488,f5a2b7032bd876d85b9d7cae0832b6efb337b95d,false,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,false
00096be0,662bfd7f063605f31f9ee06f31e55fc9147b06ee,d22bac01e1b716c544483442419a6542c0f5b52b,false,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,false
00042016,ae54216a07e593caf2710756fe77ece0c6bf1238,bcf72d6579e583abbbb9482d5ac018fd4e5aefa4,false,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,false
00058f79,70d3e99def6846979900c9746d645537811824ec,826aaaa94a74451137805ee9d9278efac22b7bdf,false,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,false
